{'class_id': 11, 'class_name': 'writing', 'samples_num': 315.0, 'class_accuracy': 0.6095238095238096, 'top_5': [['writing', 0.6095238095238096], ['typing on a keyboard', 0.19682539682539682], ['reading', 0.11428571428571428], ['playing with phone/tablet', 0.047619047619047616], ['clapping', 0.009523809523809525]]}
{'class_id': 29, 'class_name': 'typing on a keyboard', 'samples_num': 316.0, 'class_accuracy': 0.7721518987341772, 'top_5': [['typing on a keyboard', 0.7721518987341772], ['writing', 0.11392405063291139], ['playing with phone/tablet', 0.04746835443037975], ['reading', 0.04430379746835443], ['shake head', 0.006329113924050633]]}
{'class_id': 10, 'class_name': 'reading', 'samples_num': 315.0, 'class_accuracy': 0.780952380952381, 'top_5': [['reading', 0.780952380952381], ['writing', 0.1111111111111111], ['typing on a keyboard', 0.031746031746031744], ['playing with phone/tablet', 0.025396825396825397], ['tear up paper', 0.01904761904761905]]}
{'class_id': 28, 'class_name': 'playing with phone/tablet', 'samples_num': 316.0, 'class_accuracy': 0.7943037974683544, 'top_5': [['playing with phone/tablet', 0.7943037974683544], ['writing', 0.07278481012658228], ['typing on a keyboard', 0.06329113924050633], ['reading', 0.056962025316455694], ['wear a shoe', 0.0031645569620253164]]}
{'class_id': 16, 'class_name': 'take off a shoe', 'samples_num': 316.0, 'class_accuracy': 0.8607594936708861, 'top_5': [['take off a shoe', 0.8607594936708861], ['wear a shoe', 0.10443037974683544], ['nausea or vomiting condition', 0.00949367088607595], ['pickup', 0.006329113924050633], ['typing on a keyboard', 0.0031645569620253164]]}
{'class_id': 1, 'class_name': 'eat meal/snack', 'samples_num': 316.0, 'class_accuracy': 0.870253164556962, 'top_5': [['eat meal/snack', 0.870253164556962], ['take off glasses', 0.022151898734177215], ['typing on a keyboard', 0.0189873417721519], ['reading', 0.015822784810126583], ['writing', 0.015822784810126583]]}
{'class_id': 40, 'class_name': 'sneeze/cough', 'samples_num': 316.0, 'class_accuracy': 0.8860759493670886, 'top_5': [['sneeze/cough', 0.8860759493670886], ['nausea or vomiting condition', 0.022151898734177215], ['touch head (headache)', 0.0189873417721519], ['touch chest (stomachache/heart pain)', 0.00949367088607595], ['take off glasses', 0.00949367088607595]]}
{'class_id': 15, 'class_name': 'wear a shoe', 'samples_num': 315.0, 'class_accuracy': 0.8984126984126984, 'top_5': [['wear a shoe', 0.8984126984126984], ['take off a shoe', 0.09206349206349207], ['pickup', 0.006349206349206349], ['nausea or vomiting condition', 0.0031746031746031746], ['walking apart from each other', 0.0]]}
{'class_id': 36, 'class_name': 'wipe face', 'samples_num': 316.0, 'class_accuracy': 0.8987341772151899, 'top_5': [['wipe face', 0.8987341772151899], ['brushing hair', 0.022151898734177215], ['touch head (headache)', 0.015822784810126583], ['use a fan (with hand or paper)/feeling warm', 0.006329113924050633], ['rub two hands together', 0.006329113924050633]]}
{'class_id': 43, 'class_name': 'touch head (headache)', 'samples_num': 316.0, 'class_accuracy': 0.9050632911392406, 'top_5': [['touch head (headache)', 0.9050632911392406], ['wipe face', 0.022151898734177215], ['touch neck (neckache)', 0.0189873417721519], ['make a phone call/answer phone', 0.00949367088607595], ['brushing teeth', 0.00949367088607595]]}
{'class_id': 52, 'class_name': 'pat on back of other person', 'samples_num': 316.0, 'class_accuracy': 0.9050632911392406, 'top_5': [['pat on back of other person', 0.9050632911392406], ['point finger at the other person', 0.04430379746835443], ["touch other person's pocket", 0.015822784810126583], ['handshaking', 0.006329113924050633], ['giving something to other person', 0.006329113924050633]]}
